Handle,Body HTML,Details,Dimensions
leonardo-nightstand,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 25"" W x 16"" D x 21"" H."
leonardo-wardrobe,"This Panel Bedroom Set offers a perfect way of brining a classic European design to your traditionally decorated bedroom. The standard set is composed of a bed, two nightstands, your choice of dressers and a decorative mirror. Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.","Color: yellow, gold, light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 69.3"" W x 20.9"" D x 88.6"" H."
enzo-display-module,Contemporary high-end Bedroom Furniture Set will give your home elegant and cozy look. The finish is matt + Headboard in Microfiber. To the regular bedroom set a chest can be added and a double dresser and an optional Display Unit. All drawers are equipped with self closing mechanisms.,"Color: grey, silver.
Material: fabric, wood veneer, MDF.
Finish: mat.","Dimensions (in): 40.35"" W x 15.75"" D x 58.66"" H."
enzo-chest,Contemporary high-end Bedroom Furniture Set will give your home elegant and cozy look. The finish is matt + Headboard in Microfiber. To the regular bedroom set a chest can be added and a double dresser and an optional Display Unit. All drawers are equipped with self closing mechanisms.,"Color: grey, silver.
Material: fabric, wood veneer, MDF.
Finish: mat.","Dimensions (in): 30.5"" W x 18"" D x 55.5"" H."
enzo-mirror,Contemporary high-end Bedroom Furniture Set will give your home elegant and cozy look. The finish is matt + Headboard in Microfiber. To the regular bedroom set a chest can be added and a double dresser and an optional Display Unit. All drawers are equipped with self closing mechanisms.,"Color: grey, silver.
Material: fabric, wood veneer, MDF.
Finish: mat.","Dimensions (in): 6.5"" W x 62.5"" D x 41.5"" H."
enzo-mirror,Contemporary high-end Bedroom Furniture Set will give your home elegant and cozy look. The finish is matt + Headboard in Microfiber. To the regular bedroom set a chest can be added and a double dresser and an optional Display Unit. All drawers are equipped with self closing mechanisms.,"Color: grey, silver.
Material: fabric, wood veneer, MDF.
Finish: mat.","Option: 40.5"" W x 3"" D x 41.5"" H."
enzo-dresser,Contemporary high-end Bedroom Furniture Set will give your home elegant and cozy look. The finish is matt + Headboard in Microfiber. To the regular bedroom set a chest can be added and a double dresser and an optional Display Unit. All drawers are equipped with self closing mechanisms.,"Color: grey, silver.
Material: fabric, wood veneer, MDF.
Finish: mat.","Dimensions (in): 16.5"" W x 64.2"" D x 38"" H."
enzo-dresser,Contemporary high-end Bedroom Furniture Set will give your home elegant and cozy look. The finish is matt + Headboard in Microfiber. To the regular bedroom set a chest can be added and a double dresser and an optional Display Unit. All drawers are equipped with self closing mechanisms.,"Color: grey, silver.
Material: fabric, wood veneer, MDF.
Finish: mat.","Option: 18"" W x 50"" D x 48"" H."
enzo-nightstand,Contemporary high-end Bedroom Furniture Set will give your home elegant and cozy look. The finish is matt + Headboard in Microfiber. To the regular bedroom set a chest can be added and a double dresser and an optional Display Unit. All drawers are equipped with self closing mechanisms.,"Color: grey, silver.
Material: fabric, wood veneer, MDF.
Finish: mat.","Dimensions (in): 25"" W x 21"" D x 15"" H."
prestige-classic-nightstand,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 27"" W x 16"" D x 22"" H."
prestige-classic-dresser,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 68"" W x 19"" D x 33"" H."
prestige-classic-mirror,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 45.6"" W x 2"" D x 40.15"" H."
prestige-classic-chest,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 36"" W x 16"" D x 52"" H."
prestige-classic-wardrobe,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 127.2"" W x 23.6"" D x 90.6"" H."
prestige-classic-wardrobe,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Option: 106.3"" W x 23.6"" D x 90.6"" H."
prestige-classic-wardrobe,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Option: 85"" W x 23.6"" D x 90.6"" H."
prestige-classic-wardrobe,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Option: 64.2"" W x 23.6"" D x 90.6"" H."
prestige-classic-wardrobe,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Option: 42.9"" W x 23.6"" D x 90.6"" H."
prestige-classic-vanity-dresser,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 48"" W x 21"" D x 27"" H."
prestige-classic-vanity-chair,"Prestige Bedroom completes the Day collection with essential items to furnish your home with exclusive style. Georgia bed, elegant and sober, is also available with upholstered headboard for a more sophisticated taste. Chromed details enrich. Prestige Classic  collection with a touch of impeccable charm and artistic distinctiveness. The Bedroom Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.Status Italy","Color: brown, wenge, walnut.
Material: wood-based panel, stainless steel.
Finish: high gloss lacquer.","Dimensions (in): 24"" W x 4.5"" D x 22"" H."
onda-drop-chest,The headboard is upholstered in soft Nabuk eco-leather Made in Italy. Treated with stain repellent Teflon technology and finished with glitter effect. The original crystals strip from Swarovski of Austria are hand sawn onto the headboard by crafted Italian tailors. ,"Color: white, brown, wenge, walnut.
Material: fabric, wood-based panel, MDF.
Finish: high gloss lacquer.","Dimensions (in): 30"" W x 17"" D x 46"" H."
onda-drop-nightstand,The headboard is upholstered in soft Nabuk eco-leather Made in Italy. Treated with stain repellent Teflon technology and finished with glitter effect. The original crystals strip from Swarovski of Austria are hand sawn onto the headboard by crafted Italian tailors. ,"Color: white, brown, wenge, walnut.
Material: fabric, wood-based panel, MDF.
Finish: high gloss lacquer.","Dimensions (in): 30"" W x 17"" D x 21"" H."
onda-drop-dresser,The headboard is upholstered in soft Nabuk eco-leather Made in Italy. Treated with stain repellent Teflon technology and finished with glitter effect. The original crystals strip from Swarovski of Austria are hand sawn onto the headboard by crafted Italian tailors. ,"Color: white, brown, wenge, walnut.
Material: fabric, wood-based panel, MDF.
Finish: high gloss lacquer.","Dimensions (in): 68"" W x 19"" D x 31"" H."
onda-drop-dresser,The headboard is upholstered in soft Nabuk eco-leather Made in Italy. Treated with stain repellent Teflon technology and finished with glitter effect. The original crystals strip from Swarovski of Austria are hand sawn onto the headboard by crafted Italian tailors. ,"Color: white, brown, wenge, walnut.
Material: fabric, wood-based panel, MDF.
Finish: high gloss lacquer.","Option: 53"" W x 19"" D x 31"" H."
onda-drop-mirror,The headboard is upholstered in soft Nabuk eco-leather Made in Italy. Treated with stain repellent Teflon technology and finished with glitter effect. The original crystals strip from Swarovski of Austria are hand sawn onto the headboard by crafted Italian tailors. ,"Color: white, brown, wenge, walnut.
Material: fabric, wood-based panel, MDF.
Finish: high gloss lacquer.","Dimensions (in): 47"" W x 2"" D x 36"" H."
onda-drop-wardrobe,The headboard is upholstered in soft Nabuk eco-leather Made in Italy. Treated with stain repellent Teflon technology and finished with glitter effect. The original crystals strip from Swarovski of Austria are hand sawn onto the headboard by crafted Italian tailors. ,"Color: white, brown, wenge, walnut.
Material: fabric, wood-based panel, MDF.
Finish: high gloss lacquer.","Dimensions (in): 73"" W x 24"" D x 90"" H."
donatello-mirror,"Luxury high- end classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: brown, wenge, walnut, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 38"" W x 2"" D x 45"" H."
donatello-nightstand,"Luxury high- end classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: brown, wenge, walnut, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 25"" W x 19"" D x 28"" H."
donatello-vanity-mirror,"Luxury high- end classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: brown, wenge, walnut, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 65"" W x 2"" D x 45"" H."
donatello-vanity-dresser,"Luxury high- end classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: brown, wenge, walnut, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 73"" W x 19"" D x 28"" H."
donatello-wardrobe,"Luxury high- end classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: brown, wenge, walnut, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 86"" W x 29"" D x 90.5"" H."
donatello-wardrobe,"Luxury high- end classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: brown, wenge, walnut, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Option: 55"" W x 19"" D x 88"" H."
donatello-dresser,"Luxury high- end classic bedroom from Arredoclassic, Italy. Neo classic style combined with traditional elements. High quality and durability. ","Color: brown, wenge, walnut, yellow, gold.
Material: wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 52"" W x 22"" D x 40"" H."
altea-nightstand,"An intimate and bright atmosphere with a touch of modern flavor is made richer by Art Déco wall paper.
The geometric pattern of the roof is bordered by a nice decoration.
The precious and modern headboard of bed ALTEA is a counter point to the home general atmosphere.
Brown lines are lacquered brown panels which goes in contrast with the ivory color of the item.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 28"" W x 18"" D x 17"" H."
altea-dresser,"An intimate and bright atmosphere with a touch of modern flavor is made richer by Art Déco wall paper.
The geometric pattern of the roof is bordered by a nice decoration.
The precious and modern headboard of bed ALTEA is a counter point to the home general atmosphere.
Brown lines are lacquered brown panels which goes in contrast with the ivory color of the item.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 71"" W x 17"" D x 30"" H."
altea-mirror,"An intimate and bright atmosphere with a touch of modern flavor is made richer by Art Déco wall paper.
The geometric pattern of the roof is bordered by a nice decoration.
The precious and modern headboard of bed ALTEA is a counter point to the home general atmosphere.
Brown lines are lacquered brown panels which goes in contrast with the ivory color of the item.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 44"" W x 1"" D x 29"" H."
altea chest,"An intimate and bright atmosphere with a touch of modern flavor is made richer by Art Déco wall paper.
The geometric pattern of the roof is bordered by a nice decoration.
The precious and modern headboard of bed ALTEA is a counter point to the home general atmosphere.
Brown lines are lacquered brown panels which goes in contrast with the ivory color of the item.","Color: light beige.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 28"" W x 18"" D x 47"" H."
dover-wardrobe,Modern Bedroom Furniture set Made in Italy,"Color: brown, wenge, walnut, light beige.
Material: wood-based panel.
Finish: high gloss lacquer.",
dover-wardrobe,Modern Bedroom Furniture set Made in Italy,"Color: brown, wenge, walnut, light beige.
Material: wood-based panel.
Finish: high gloss lacquer.","Option: 71"" W x 22"" D x 83"" H."
dover-nightstand,Modern Bedroom Furniture set Made in Italy,"Color: brown, wenge, walnut, light beige.
Material: wood-based panel.
Finish: high gloss lacquer.","Dimensions (in): 20"" W x 14.5"" D x 18"" H."
dover-dresser,Modern Bedroom Furniture set Made in Italy,"Color: brown, wenge, walnut, light beige.
Material: wood-based panel.
Finish: high gloss lacquer.",
dover-dresser,Modern Bedroom Furniture set Made in Italy,"Color: brown, wenge, walnut, light beige.
Material: wood-based panel.
Finish: high gloss lacquer.","Option: 40"" W x 18"" D x 30"" H."
dover-mirror,Modern Bedroom Furniture set Made in Italy,"Color: brown, wenge, walnut, light beige.
Material: wood-based panel.
Finish: high gloss lacquer.","Dimensions (in): 43"" W x 1"" D x 27.5"" H."
martina-nightstand,Modern Bedroom Set w/Storage made in Spain.,"Color: white, grey, silver, light beige.
Material: eco leather, wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 24"" W x 16"" D x 23"" H."
martina-dresser,Modern Bedroom Set w/Storage made in Spain.,"Color: white, grey, silver, light beige.
Material: eco leather, wood veneer, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 44"" W x 18"" D x 35"" H."
carmen-white-nightstand,One of a kind modern design in clean white color.,"Color: white.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 26"" W x 18"" D x 19"" H."
carmen-white-dresser,One of a kind modern design in clean white color.,"Color: white.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 63"" W x 16"" D x 36"" H."
carmen-white-dresser,One of a kind modern design in clean white color.,"Color: white.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Option: 47"" W x 16"" D x 40"" H."
carmen-white-chest,One of a kind modern design in clean white color.,"Color: white.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 30"" W x 52"" D x 18"" H."
carmen-white-wardrobe,One of a kind modern design in clean white color.,"Color: white.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 39"" W x 24"" D x 67"" H."
carmen-white-mirror,One of a kind modern design in clean white color.,"Color: white.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Dimensions (in): 63"" W x 4"" D x 40"" H."
carmen-white-mirror,One of a kind modern design in clean white color.,"Color: white.
Material: fabric, MDF.
Finish: high gloss lacquer, mat.","Option: 40"" W x 4"" D x 40"" H."
veronica-chest,Modern Bedroom Furniture set w/Storage made in Spain.,"Color: white, grey, silver, yellow, gold.
Material: fabric, MDF.
Finish: high gloss lacquer.","Dimensions (in): 23.62"" W x 18.5"" D x 45.27"" H."
veronica-dresser,Modern Bedroom Furniture set w/Storage made in Spain.,"Color: white, grey, silver, yellow, gold.
Material: fabric, MDF.
Finish: high gloss lacquer.","Dimensions (in): 45"" W x 19"" D x 31"" H."
veronica-nightstand,Modern Bedroom Furniture set w/Storage made in Spain.,"Color: white, grey, silver, yellow, gold.
Material: fabric, MDF.
Finish: high gloss lacquer.","Dimensions (in): 24"" W x 17"" D x 21"" H."
aida-wardrobe,Classic Style 2 Door White/Silver Aida Wardrobe.,"Color: white, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 36"" W x 17"" D x 67"" H."
tekno-nightstand,Italian contemporary design Tekno Bedroom furniture set aimed at a modern consumer who seeks clear-cut lines and a up-to-date look.,"Color: brown, wenge, walnut, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 23"" W x 17"" D x 18"" H."
tekno-dresser,Italian contemporary design Tekno Bedroom furniture set aimed at a modern consumer who seeks clear-cut lines and a up-to-date look.,"Color: brown, wenge, walnut, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 65.5"" W x 19"" D x 31"" H."
tekno-mirror,Italian contemporary design Tekno Bedroom furniture set aimed at a modern consumer who seeks clear-cut lines and a up-to-date look.,"Color: brown, wenge, walnut, grey, silver.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 48"" W x 1"" D x 36"" H."
new-star-nightstand,New Star Collection - contemporary bedroom furniture set design rich in details. ,"Color: grey, silver.
Material: wood-based panel, stainless steel.
Finish: mat.","Dimensions (in): 26"" W x 17"" D x 21"" H."
new-star-dresser,New Star Collection - contemporary bedroom furniture set design rich in details. ,"Color: grey, silver.
Material: wood-based panel, stainless steel.
Finish: mat.","Dimensions (in): 67"" W x 19"" D x 31"" H."
new-star-chest,New Star Collection - contemporary bedroom furniture set design rich in details. ,"Color: grey, silver.
Material: wood-based panel, stainless steel.
Finish: mat.","Dimensions (in): 26"" W x 17"" D x 50"" H."
new-star-mirror,New Star Collection - contemporary bedroom furniture set design rich in details. ,"Color: grey, silver.
Material: wood-based panel, stainless steel.
Finish: mat.","Dimensions (in): 47"" W x 7"" D x 39"" H."
onda-nightstand,Beautiful white high gloss finish Onda night table - will fit in any room. Soft closing drawers.,"Color: white.
Material: wood veneer, MDF.
Finish: high gloss lacquer.","Dimensions (in): 30"" W x 17"" D x 21"" H."
medea-nightstand,,"Color: brown, wenge, walnut.
Material: solid wood, wood veneer, wood-based panel.
Finish: high gloss lacquer.","Dimensions (in): 25"" W x 17"" D x 23"" H."
medea-dresser,Medea Collection - contemporary bedroom furniture set design rich in details.,"Color: brown, wenge, walnut.
Material: solid wood, wood veneer, wood-based panel.
Finish: high gloss lacquer.","Dimensions (in): 67"" W x 20"" D x 32"" H."
medea-mirror,Medea Collection - contemporary bedroom furniture set design rich in details.,"Color: brown, wenge, walnut.
Material: solid wood, wood veneer, wood-based panel.
Finish: high gloss lacquer.","Dimensions (in): 39"" W x 0.8"" D x 38.5"" H."
medea-chest,Medea Collection - contemporary bedroom furniture set design rich in details.,"Color: brown, wenge, walnut.
Material: solid wood, wood veneer, wood-based panel.
Finish: high gloss lacquer.","Dimensions (in): 25"" W x 17"" D x 49"" H."
picasso-nightstand,"Exclusive bedroom furniture set in warm beige and brown mix colors. This contemporary set will make your space look cozy and warm.
Manufactured according to European and international standards.","Color: brown, wenge, walnut, grey, silver, light beige.
Material: MDF.
Finish: high gloss lacquer.","Dimensions (in): 26"" W x 18"" D x 24"" H."
picasso-dresser,"Exclusive bedroom furniture set in warm beige and brown mix colors. This contemporary set will make your space look cozy and warm.
Manufactured according to European and international standards.","Color: brown, wenge, walnut, grey, silver, light beige.
Material: MDF.
Finish: high gloss lacquer.","Dimensions (in): 60"" W x 18"" D x 34"" H."
picasso-mirror,"Exclusive bedroom furniture set in warm beige and brown mix colors. This contemporary set will make your space look cozy and warm.
Manufactured according to European and international standards.","Color: brown, wenge, walnut, grey, silver, light beige.
Material: MDF.
Finish: high gloss lacquer.","Dimensions (in): 37"" W x 1"" D x 41"" H."
picasso-chest,"Exclusive bedroom furniture set in warm beige and brown mix colors. This contemporary set will make your space look cozy and warm.
Manufactured according to European and international standards.","Color: brown, wenge, walnut, grey, silver, light beige.
Material: MDF.
Finish: high gloss lacquer.","Dimensions (in): 36"" W x 18"" D x 54"" H."
elena-nightstand,"This Bedroom Furniture Set is a great addition to a modern bedroom style. Available with storage drawers. For regular set available to add Chest, Double Dresser or 2 Door Wardrobe. The finish is matt. All night stands and dresser drawers are equipped with self closing mechanisms. Hardware used for the bed base is all from Europe.","Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: mat.","Dimensions (in): 25"" W x 17"" D x 14"" H."
elena-nightstand,"This Bedroom Furniture Set is a great addition to a modern bedroom style. Available with storage drawers. For regular set available to add Chest, Double Dresser or 2 Door Wardrobe. The finish is matt. All night stands and dresser drawers are equipped with self closing mechanisms. Hardware used for the bed base is all from Europe.","Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: mat.","Option: 25"" W x 17"" D x 14"" H."
elena-dresser,"This Bedroom Furniture Set is a great addition to a modern bedroom style. Available with storage drawers. For regular set available to add Chest, Double Dresser or 2 Door Wardrobe. The finish is matt. All night stands and dresser drawers are equipped with self closing mechanisms. Hardware used for the bed base is all from Europe.","Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: mat.","Dimensions (in): 62"" W x 17"" D x 32"" H."
elena-dresser,"This Bedroom Furniture Set is a great addition to a modern bedroom style. Available with storage drawers. For regular set available to add Chest, Double Dresser or 2 Door Wardrobe. The finish is matt. All night stands and dresser drawers are equipped with self closing mechanisms. Hardware used for the bed base is all from Europe.","Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: mat.","Option: 47"" W x 17"" D x 32"" H."
elena-mirror,"This Bedroom Furniture Set is a great addition to a modern bedroom style. Available with storage drawers. For regular set available to add Chest, Double Dresser or 2 Door Wardrobe. The finish is matt. All night stands and dresser drawers are equipped with self closing mechanisms. Hardware used for the bed base is all from Europe.","Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: mat.","Dimensions (in): 47"" W x 2"" D x 24"" H."
elena-chest,"This Bedroom Furniture Set is a great addition to a modern bedroom style. Available with storage drawers. For regular set available to add Chest, Double Dresser or 2 Door Wardrobe. The finish is matt. All night stands and dresser drawers are equipped with self closing mechanisms. Hardware used for the bed base is all from Europe.","Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: mat.","Dimensions (in): 25"" W x 17"" D x 42"" H."
elena-wardrobe,"This Bedroom Furniture Set is a great addition to a modern bedroom style. Available with storage drawers. For regular set available to add Chest, Double Dresser or 2 Door Wardrobe. The finish is matt. All night stands and dresser drawers are equipped with self closing mechanisms. Hardware used for the bed base is all from Europe.","Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: mat.","Dimensions (in): 39"" W x 24"" D x 67"" H."
dover-wardrobe,Modern bedroom Furniture Set Made in Italy.,"Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: shiny.",
dover-wardrobe,Modern bedroom Furniture Set Made in Italy.,"Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: shiny.","Option: 71"" W x 22"" D x 83"" H."
dover-nightstand,Modern bedroom Furniture Set Made in Italy.,"Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: shiny.","Dimensions (in): 20"" W x 14.5"" D x 18"" H."
dover-dresser,Modern bedroom Furniture Set Made in Italy.,"Color: brown, wenge, walnut.
Material: wood veneer, MDF.
Finish: shiny.",
